Feature1,Feature2,CorrVal,RCode
cosine_miniLM,jaccard_sim,0.7304720090778153,cosine_miniLM*jaccard_sim
jaccard_sim,cosine_miniLM,0.7304720090778153,jaccard_sim*cosine_miniLM
seg1_dependency_distance_mean,seg1_doc_length,0.7604899668652226,seg1_dependency_distance_mean*seg1_doc_length
seg1_dependency_distance_mean,seg1_n_tokens,0.7387391064370916,seg1_dependency_distance_mean*seg1_n_tokens
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7614014095841587,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_n_unique_tokens,0.7246778583691647,seg1_dependency_distance_mean*seg1_n_unique_tokens
seg2_dependency_distance_mean,seg2_doc_length,0.7262189882230247,seg2_dependency_distance_mean*seg2_doc_length
seg2_dependency_distance_mean,seg2_n_tokens,0.7109143672657781,seg2_dependency_distance_mean*seg2_n_tokens
seg2_dependency_distance_mean,seg2_sentence_length_median,0.709692210545769,seg2_dependency_distance_mean*seg2_sentence_length_median
seg1_n_stop_words,seg1_n_tokens,0.7362848848013822,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.7208738533945634,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.7283231929615287,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.7005530934990958,seg1_n_stop_words*seg1_n_characters
seg2_n_stop_words,seg2_n_tokens,0.7911420504230051,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.8072876365948087,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.7931404127246173,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.7103848625362557,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_dependency_distance_mean,0.7604899668652226,seg1_doc_length*seg1_dependency_distance_mean
seg1_doc_length,seg1_n_tokens,0.9764573312784636,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_sentence_length_median,0.8936341565123147,seg1_doc_length*seg1_sentence_length_median
