Feature1,Feature2,CorrVal,RCode
seg2_dependency_distance_mean,seg2_n_stop_words,0.8881915190845716,seg2_dependency_distance_mean*seg2_n_stop_words
seg2_dependency_distance_mean,seg2_doc_length,0.851915444077405,seg2_dependency_distance_mean*seg2_doc_length
seg2_dependency_distance_mean,seg2_pos_prop_ADV,0.8218797803922627,seg2_dependency_distance_mean*seg2_pos_prop_ADV
seg2_dependency_distance_mean,seg2_pos_prop_PUNCT,0.8861982533245528,seg2_dependency_distance_mean*seg2_pos_prop_PUNCT
seg2_dependency_distance_mean,seg2_n_tokens,0.8283672038597995,seg2_dependency_distance_mean*seg2_n_tokens
seg2_dependency_distance_mean,seg2_sentence_length_median,0.8283672038597995,seg2_dependency_distance_mean*seg2_sentence_length_median
seg2_dependency_distance_mean,seg2_n_unique_tokens,0.8357493520794876,seg2_dependency_distance_mean*seg2_n_unique_tokens
seg2_dependency_distance_mean,seg2_n_characters,0.8147932854706104,seg2_dependency_distance_mean*seg2_n_characters
seg2_passed_quality_check,seg2_n_tokens,0.704241462827904,seg2_passed_quality_check*seg2_n_tokens
seg2_passed_quality_check,seg2_sentence_length_median,0.704241462827904,seg2_passed_quality_check*seg2_sentence_length_median
seg2_passed_quality_check,seg2_n_unique_tokens,0.7318831427548325,seg2_passed_quality_check*seg2_n_unique_tokens
seg1_n_stop_words,seg1_doc_length,0.978738849184345,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9794356336451148,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_n_unique_tokens,0.9508648134453648,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.959141985237168,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_n_sentences,0.8516326362002833,seg1_n_stop_words*seg1_n_sentences
seg2_n_stop_words,seg2_dependency_distance_mean,0.8881915190845716,seg2_n_stop_words*seg2_dependency_distance_mean
seg2_n_stop_words,seg2_doc_length,0.9400861793922116,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_pos_prop_ADV,0.7293668200650859,seg2_n_stop_words*seg2_pos_prop_ADV
seg2_n_stop_words,seg2_pos_prop_PUNCT,0.8219197541630439,seg2_n_stop_words*seg2_pos_prop_PUNCT
seg2_n_stop_words,seg2_n_tokens,0.9342846694958776,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.9342846694958776,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.9299132614688344,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.853589464169238,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_n_stop_words,0.978738849184345,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.9972403767729272,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_n_unique_tokens,0.9805375789064688,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9908211723778227,seg1_doc_length*seg1_n_characters
seg1_doc_length,seg1_n_sentences,0.8660621886537003,seg1_doc_length*seg1_n_sentences
seg2_doc_length,seg2_dependency_distance_mean,0.851915444077405,seg2_doc_length*seg2_dependency_distance_mean
seg2_doc_length,seg2_n_stop_words,0.9400861793922116,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_pos_prop_PUNCT,0.8636416827649293,seg2_doc_length*seg2_pos_prop_PUNCT
seg2_doc_length,seg2_n_tokens,0.9977969296751676,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_sentence_length_median,0.9977969296751676,seg2_doc_length*seg2_sentence_length_median
seg2_doc_length,seg2_n_unique_tokens,0.9913317010345748,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.9762753913092912,seg2_doc_length*seg2_n_characters
seg2_doc_length,seg2_rix,0.7547397786421302,seg2_doc_length*seg2_rix
seg2_pos_prop_ADV,seg2_dependency_distance_mean,0.8218797803922627,seg2_pos_prop_ADV*seg2_dependency_distance_mean
seg2_pos_prop_ADV,seg2_n_stop_words,0.7293668200650859,seg2_pos_prop_ADV*seg2_n_stop_words
seg2_pos_prop_ADV,seg2_pos_prop_PUNCT,0.7417826015484771,seg2_pos_prop_ADV*seg2_pos_prop_PUNCT
seg2_pos_prop_PUNCT,seg2_dependency_distance_mean,0.8861982533245528,seg2_pos_prop_PUNCT*seg2_dependency_distance_mean
seg2_pos_prop_PUNCT,seg2_n_stop_words,0.8219197541630439,seg2_pos_prop_PUNCT*seg2_n_stop_words
seg2_pos_prop_PUNCT,seg2_doc_length,0.8636416827649293,seg2_pos_prop_PUNCT*seg2_doc_length
seg2_pos_prop_PUNCT,seg2_pos_prop_ADV,0.7417826015484771,seg2_pos_prop_PUNCT*seg2_pos_prop_ADV
seg2_pos_prop_PUNCT,seg2_n_tokens,0.8294108488687282,seg2_pos_prop_PUNCT*seg2_n_tokens
seg2_pos_prop_PUNCT,seg2_sentence_length_median,0.8294108488687282,seg2_pos_prop_PUNCT*seg2_sentence_length_median
seg2_pos_prop_PUNCT,seg2_n_unique_tokens,0.8180721116325368,seg2_pos_prop_PUNCT*seg2_n_unique_tokens
seg2_pos_prop_PUNCT,seg2_n_characters,0.8630451528293442,seg2_pos_prop_PUNCT*seg2_n_characters
seg1_n_tokens,seg1_n_stop_words,0.9794356336451148,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.9972403767729272,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_n_unique_tokens,0.9828362584973822,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9918291600114284,seg1_n_tokens*seg1_n_characters
seg1_n_tokens,seg1_n_sentences,0.8513543040362636,seg1_n_tokens*seg1_n_sentences
seg2_n_tokens,seg2_dependency_distance_mean,0.8283672038597995,seg2_n_tokens*seg2_dependency_distance_mean
seg2_n_tokens,seg2_passed_quality_check,0.704241462827904,seg2_n_tokens*seg2_passed_quality_check
seg2_n_tokens,seg2_n_stop_words,0.9342846694958776,seg2_n_tokens*seg2_n_stop_words
seg2_n_tokens,seg2_doc_length,0.9977969296751676,seg2_n_tokens*seg2_doc_length
seg2_n_tokens,seg2_pos_prop_PUNCT,0.8294108488687282,seg2_n_tokens*seg2_pos_prop_PUNCT
seg2_n_tokens,seg2_sentence_length_median,1.0,seg2_n_tokens*seg2_sentence_length_median
seg2_n_tokens,seg2_n_unique_tokens,0.9929913385637904,seg2_n_tokens*seg2_n_unique_tokens
seg2_n_tokens,seg2_n_characters,0.9722873072215372,seg2_n_tokens*seg2_n_characters
seg2_n_tokens,seg2_rix,0.7526464521926862,seg2_n_tokens*seg2_rix
seg2_token_length_median,seg2_automated_readability_index,0.802191991520035,seg2_token_length_median*seg2_automated_readability_index
seg2_token_length_median,seg2_coleman_liau_index,0.896447493416175,seg2_token_length_median*seg2_coleman_liau_index
seg2_token_length_median,seg2_lix,0.8678867853839363,seg2_token_length_median*seg2_lix
seg1_sentence_length_median,seg1_flesch_kincaid_grade,0.8678922452321493,seg1_sentence_length_median*seg1_flesch_kincaid_grade
seg1_sentence_length_median,seg1_gunning_fog,0.8184610524033209,seg1_sentence_length_median*seg1_gunning_fog
seg1_sentence_length_median,seg1_automated_readability_index,0.8698548278517299,seg1_sentence_length_median*seg1_automated_readability_index
seg1_sentence_length_median,seg1_lix,0.7162098497319909,seg1_sentence_length_median*seg1_lix
seg1_sentence_length_median,seg1_rix,0.7051960722266687,seg1_sentence_length_median*seg1_rix
seg2_sentence_length_median,seg2_dependency_distance_mean,0.8283672038597995,seg2_sentence_length_median*seg2_dependency_distance_mean
seg2_sentence_length_median,seg2_passed_quality_check,0.704241462827904,seg2_sentence_length_median*seg2_passed_quality_check
seg2_sentence_length_median,seg2_n_stop_words,0.9342846694958776,seg2_sentence_length_median*seg2_n_stop_words
seg2_sentence_length_median,seg2_doc_length,0.9977969296751676,seg2_sentence_length_median*seg2_doc_length
seg2_sentence_length_median,seg2_pos_prop_PUNCT,0.8294108488687282,seg2_sentence_length_median*seg2_pos_prop_PUNCT
seg2_sentence_length_median,seg2_n_tokens,1.0,seg2_sentence_length_median*seg2_n_tokens
seg2_sentence_length_median,seg2_n_unique_tokens,0.9929913385637904,seg2_sentence_length_median*seg2_n_unique_tokens
seg2_sentence_length_median,seg2_n_characters,0.9722873072215372,seg2_sentence_length_median*seg2_n_characters
seg2_sentence_length_median,seg2_rix,0.7526464521926862,seg2_sentence_length_median*seg2_rix
seg1_n_unique_tokens,seg1_n_stop_words,0.9508648134453648,seg1_n_unique_tokens*seg1_n_stop_words
seg1_n_unique_tokens,seg1_doc_length,0.9805375789064688,seg1_n_unique_tokens*seg1_doc_length
seg1_n_unique_tokens,seg1_n_tokens,0.9828362584973822,seg1_n_unique_tokens*seg1_n_tokens
seg1_n_unique_tokens,seg1_n_characters,0.9829994319501384,seg1_n_unique_tokens*seg1_n_characters
seg1_n_unique_tokens,seg1_n_sentences,0.8202455623301154,seg1_n_unique_tokens*seg1_n_sentences
seg2_n_unique_tokens,seg2_dependency_distance_mean,0.8357493520794876,seg2_n_unique_tokens*seg2_dependency_distance_mean
