Feature1,Feature2,CorrVal,RCode
seg2_dependency_distance_mean,seg2_doc_length,0.7123019755693639,seg2_dependency_distance_mean*seg2_doc_length
seg1_passed_quality_check,seg1_n_stop_words,0.8097418495855807,seg1_passed_quality_check*seg1_n_stop_words
seg1_passed_quality_check,seg1_doc_length,0.8781377797241536,seg1_passed_quality_check*seg1_doc_length
seg1_passed_quality_check,seg1_n_tokens,0.8721923940156978,seg1_passed_quality_check*seg1_n_tokens
seg1_passed_quality_check,seg1_sentence_length_median,0.8721923940156978,seg1_passed_quality_check*seg1_sentence_length_median
seg1_passed_quality_check,seg1_n_unique_tokens,0.8668151402191815,seg1_passed_quality_check*seg1_n_unique_tokens
seg1_passed_quality_check,seg1_n_characters,0.833523318171439,seg1_passed_quality_check*seg1_n_characters
seg2_passed_quality_check,seg2_n_unique_tokens,0.7101288854802554,seg2_passed_quality_check*seg2_n_unique_tokens
seg1_n_stop_words,seg1_passed_quality_check,0.8097418495855807,seg1_n_stop_words*seg1_passed_quality_check
seg1_n_stop_words,seg1_doc_length,0.9133369777508236,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9221744435911226,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.9221744435911226,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.9098708313036966,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.8004369565795827,seg1_n_stop_words*seg1_n_characters
seg2_n_stop_words,seg2_doc_length,0.8977804560363367,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9083759189271134,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.9037396451215004,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.8817586259723702,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.7660361891470446,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_passed_quality_check,0.8781377797241536,seg1_doc_length*seg1_passed_quality_check
