Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_sentence_length_median,0.8011926550011287,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_flesch_kincaid_grade,0.7458729294618753,seg1_dependency_distance_mean*seg1_flesch_kincaid_grade
seg1_dependency_distance_mean,seg1_automated_readability_index,0.7816584361771646,seg1_dependency_distance_mean*seg1_automated_readability_index
seg2_dependency_distance_mean,seg2_sentence_length_median,0.8088195113511855,seg2_dependency_distance_mean*seg2_sentence_length_median
seg1_n_stop_words,seg1_doc_length,0.9926922094854692,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9940164684021164,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_n_unique_tokens,0.98924575220791,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.9890387576014072,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_n_sentences,0.900857051245933,seg1_n_stop_words*seg1_n_sentences
seg2_n_stop_words,seg2_doc_length,0.9698973724253488,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9756364751360924,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_n_unique_tokens,0.9506533209260932,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.9396473040100414,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_n_stop_words,0.9926922094854692,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.9987221315393672,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_n_unique_tokens,0.9892163662618828,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9981843392675124,seg1_doc_length*seg1_n_characters
seg1_doc_length,seg1_n_sentences,0.9107976946103976,seg1_doc_length*seg1_n_sentences
seg2_doc_length,seg2_n_stop_words,0.9698973724253488,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.9966179438849112,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_n_unique_tokens,0.9728759709099232,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.984495239573406,seg2_doc_length*seg2_n_characters
seg2_oov_ratio,seg2_pos_prop_PROPN,0.8268831751518321,seg2_oov_ratio*seg2_pos_prop_PROPN
seg2_pos_prop_PROPN,seg2_oov_ratio,0.8268831751518321,seg2_pos_prop_PROPN*seg2_oov_ratio
seg1_n_tokens,seg1_n_stop_words,0.9940164684021164,seg1_n_tokens*seg1_n_stop_words
