Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7486230910474042,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_n_stop_words,seg1_doc_length,0.910849911476716,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9472777620848644,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_n_unique_tokens,0.919048067779097,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.8360633555425041,seg1_n_stop_words*seg1_n_characters
seg2_n_stop_words,seg2_doc_length,0.8870114036177652,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9406613640358072,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_n_unique_tokens,0.9047661004845884,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.8001640322188894,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_n_stop_words,0.910849911476716,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.984547224914063,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_n_unique_tokens,0.968882491972604,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9704317204323476,seg1_doc_length*seg1_n_characters
seg2_doc_length,seg2_n_stop_words,0.8870114036177652,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.979420956455397,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_n_unique_tokens,0.964090787773306,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.9654391992311504,seg2_doc_length*seg2_n_characters
seg1_n_tokens,seg1_n_stop_words,0.9472777620848644,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.984547224914063,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_n_unique_tokens,0.982417652433946,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9495550479083632,seg1_n_tokens*seg1_n_characters
seg2_n_tokens,seg2_n_stop_words,0.9406613640358072,seg2_n_tokens*seg2_n_stop_words
seg2_n_tokens,seg2_doc_length,0.979420956455397,seg2_n_tokens*seg2_doc_length
seg2_n_tokens,seg2_n_unique_tokens,0.9794330916439898,seg2_n_tokens*seg2_n_unique_tokens
seg2_n_tokens,seg2_n_characters,0.9360539434572832,seg2_n_tokens*seg2_n_characters
seg1_sentence_length_median,seg1_dependency_distance_mean,0.7486230910474042,seg1_sentence_length_median*seg1_dependency_distance_mean
seg1_sentence_length_median,seg1_rix,0.7412134526447847,seg1_sentence_length_median*seg1_rix
seg2_sentence_length_median,seg2_flesch_kincaid_grade,0.7017840199654944,seg2_sentence_length_median*seg2_flesch_kincaid_grade
seg2_sentence_length_median,seg2_rix,0.7510238557046028,seg2_sentence_length_median*seg2_rix
seg1_n_unique_tokens,seg1_n_stop_words,0.919048067779097,seg1_n_unique_tokens*seg1_n_stop_words
seg1_n_unique_tokens,seg1_doc_length,0.968882491972604,seg1_n_unique_tokens*seg1_doc_length
seg1_n_unique_tokens,seg1_n_tokens,0.982417652433946,seg1_n_unique_tokens*seg1_n_tokens
seg1_n_unique_tokens,seg1_n_characters,0.9451727749528912,seg1_n_unique_tokens*seg1_n_characters
seg2_n_unique_tokens,seg2_n_stop_words,0.9047661004845884,seg2_n_unique_tokens*seg2_n_stop_words
seg2_n_unique_tokens,seg2_doc_length,0.964090787773306,seg2_n_unique_tokens*seg2_doc_length
seg2_n_unique_tokens,seg2_n_tokens,0.9794330916439898,seg2_n_unique_tokens*seg2_n_tokens
seg2_n_unique_tokens,seg2_n_characters,0.9335243710013288,seg2_n_unique_tokens*seg2_n_characters
seg1_n_characters,seg1_n_stop_words,0.8360633555425041,seg1_n_characters*seg1_n_stop_words
seg1_n_characters,seg1_doc_length,0.9704317204323476,seg1_n_characters*seg1_doc_length
seg1_n_characters,seg1_n_tokens,0.9495550479083632,seg1_n_characters*seg1_n_tokens
seg1_n_characters,seg1_n_unique_tokens,0.9451727749528912,seg1_n_characters*seg1_n_unique_tokens
seg2_n_characters,seg2_n_stop_words,0.8001640322188894,seg2_n_characters*seg2_n_stop_words
seg2_n_characters,seg2_doc_length,0.9654391992311504,seg2_n_characters*seg2_doc_length
seg2_n_characters,seg2_n_tokens,0.9360539434572832,seg2_n_characters*seg2_n_tokens
seg2_n_characters,seg2_n_unique_tokens,0.9335243710013288,seg2_n_characters*seg2_n_unique_tokens
seg1_flesch_reading_ease,seg1_flesch_kincaid_grade,-0.8988918497269207,seg1_flesch_reading_ease*seg1_flesch_kincaid_grade
seg1_flesch_reading_ease,seg1_gunning_fog,-0.7980635857788377,seg1_flesch_reading_ease*seg1_gunning_fog
seg1_flesch_reading_ease,seg1_automated_readability_index,-0.8098300891167154,seg1_flesch_reading_ease*seg1_automated_readability_index
seg1_flesch_reading_ease,seg1_coleman_liau_index,-0.8289369518389068,seg1_flesch_reading_ease*seg1_coleman_liau_index
seg1_flesch_reading_ease,seg1_lix,-0.7463200639879236,seg1_flesch_reading_ease*seg1_lix
seg2_flesch_reading_ease,seg2_flesch_kincaid_grade,-0.8914773594147545,seg2_flesch_reading_ease*seg2_flesch_kincaid_grade
seg2_flesch_reading_ease,seg2_gunning_fog,-0.766046473600133,seg2_flesch_reading_ease*seg2_gunning_fog
seg2_flesch_reading_ease,seg2_automated_readability_index,-0.8323278927198797,seg2_flesch_reading_ease*seg2_automated_readability_index
seg2_flesch_reading_ease,seg2_coleman_liau_index,-0.8374311523616572,seg2_flesch_reading_ease*seg2_coleman_liau_index
seg2_flesch_reading_ease,seg2_lix,-0.7385735157420454,seg2_flesch_reading_ease*seg2_lix
seg1_flesch_kincaid_grade,seg1_flesch_reading_ease,-0.8988918497269207,seg1_flesch_kincaid_grade*seg1_flesch_reading_ease
seg1_flesch_kincaid_grade,seg1_gunning_fog,0.8866909527048655,seg1_flesch_kincaid_grade*seg1_gunning_fog
seg1_flesch_kincaid_grade,seg1_automated_readability_index,0.885716180040619,seg1_flesch_kincaid_grade*seg1_automated_readability_index
seg1_flesch_kincaid_grade,seg1_coleman_liau_index,0.7066662240269462,seg1_flesch_kincaid_grade*seg1_coleman_liau_index
seg1_flesch_kincaid_grade,seg1_lix,0.7978792443759845,seg1_flesch_kincaid_grade*seg1_lix
seg1_flesch_kincaid_grade,seg1_rix,0.7708568660215965,seg1_flesch_kincaid_grade*seg1_rix
seg2_flesch_kincaid_grade,seg2_sentence_length_median,0.7017840199654944,seg2_flesch_kincaid_grade*seg2_sentence_length_median
seg2_flesch_kincaid_grade,seg2_flesch_reading_ease,-0.8914773594147545,seg2_flesch_kincaid_grade*seg2_flesch_reading_ease
seg2_flesch_kincaid_grade,seg2_gunning_fog,0.889336456600389,seg2_flesch_kincaid_grade*seg2_gunning_fog
seg2_flesch_kincaid_grade,seg2_automated_readability_index,0.914655334898317,seg2_flesch_kincaid_grade*seg2_automated_readability_index
seg2_flesch_kincaid_grade,seg2_lix,0.8187323298912644,seg2_flesch_kincaid_grade*seg2_lix
seg2_flesch_kincaid_grade,seg2_rix,0.8238172866913577,seg2_flesch_kincaid_grade*seg2_rix
seg1_gunning_fog,seg1_flesch_reading_ease,-0.7980635857788377,seg1_gunning_fog*seg1_flesch_reading_ease
seg1_gunning_fog,seg1_flesch_kincaid_grade,0.8866909527048655,seg1_gunning_fog*seg1_flesch_kincaid_grade
seg1_gunning_fog,seg1_automated_readability_index,0.7151394886365239,seg1_gunning_fog*seg1_automated_readability_index
seg1_gunning_fog,seg1_lix,0.746338619711326,seg1_gunning_fog*seg1_lix
seg1_gunning_fog,seg1_rix,0.7058134442567506,seg1_gunning_fog*seg1_rix
seg2_gunning_fog,seg2_flesch_reading_ease,-0.766046473600133,seg2_gunning_fog*seg2_flesch_reading_ease
seg2_gunning_fog,seg2_flesch_kincaid_grade,0.889336456600389,seg2_gunning_fog*seg2_flesch_kincaid_grade
seg2_gunning_fog,seg2_automated_readability_index,0.7534318816028047,seg2_gunning_fog*seg2_automated_readability_index
seg2_gunning_fog,seg2_lix,0.7995045733180597,seg2_gunning_fog*seg2_lix
seg2_gunning_fog,seg2_rix,0.7962439231585496,seg2_gunning_fog*seg2_rix
seg1_automated_readability_index,seg1_flesch_reading_ease,-0.8098300891167154,seg1_automated_readability_index*seg1_flesch_reading_ease
seg1_automated_readability_index,seg1_flesch_kincaid_grade,0.885716180040619,seg1_automated_readability_index*seg1_flesch_kincaid_grade
seg1_automated_readability_index,seg1_gunning_fog,0.7151394886365239,seg1_automated_readability_index*seg1_gunning_fog
seg1_automated_readability_index,seg1_coleman_liau_index,0.8760666134706022,seg1_automated_readability_index*seg1_coleman_liau_index
seg1_automated_readability_index,seg1_lix,0.7370801863937878,seg1_automated_readability_index*seg1_lix
seg2_automated_readability_index,seg2_flesch_reading_ease,-0.8323278927198797,seg2_automated_readability_index*seg2_flesch_reading_ease
seg2_automated_readability_index,seg2_flesch_kincaid_grade,0.914655334898317,seg2_automated_readability_index*seg2_flesch_kincaid_grade
seg2_automated_readability_index,seg2_gunning_fog,0.7534318816028047,seg2_automated_readability_index*seg2_gunning_fog
seg2_automated_readability_index,seg2_coleman_liau_index,0.8432471232774957,seg2_automated_readability_index*seg2_coleman_liau_index
seg2_automated_readability_index,seg2_lix,0.7722044740195757,seg2_automated_readability_index*seg2_lix
seg2_automated_readability_index,seg2_rix,0.7691088715600001,seg2_automated_readability_index*seg2_rix
seg1_coleman_liau_index,seg1_flesch_reading_ease,-0.8289369518389068,seg1_coleman_liau_index*seg1_flesch_reading_ease
seg1_coleman_liau_index,seg1_flesch_kincaid_grade,0.7066662240269462,seg1_coleman_liau_index*seg1_flesch_kincaid_grade
seg1_coleman_liau_index,seg1_automated_readability_index,0.8760666134706022,seg1_coleman_liau_index*seg1_automated_readability_index
seg2_coleman_liau_index,seg2_flesch_reading_ease,-0.8374311523616572,seg2_coleman_liau_index*seg2_flesch_reading_ease
seg2_coleman_liau_index,seg2_automated_readability_index,0.8432471232774957,seg2_coleman_liau_index*seg2_automated_readability_index
seg1_lix,seg1_flesch_reading_ease,-0.7463200639879236,seg1_lix*seg1_flesch_reading_ease
seg1_lix,seg1_flesch_kincaid_grade,0.7978792443759845,seg1_lix*seg1_flesch_kincaid_grade
seg1_lix,seg1_gunning_fog,0.746338619711326,seg1_lix*seg1_gunning_fog
seg1_lix,seg1_automated_readability_index,0.7370801863937878,seg1_lix*seg1_automated_readability_index
seg1_lix,seg1_rix,0.816956757777804,seg1_lix*seg1_rix
seg2_lix,seg2_flesch_reading_ease,-0.7385735157420454,seg2_lix*seg2_flesch_reading_ease
seg2_lix,seg2_flesch_kincaid_grade,0.8187323298912644,seg2_lix*seg2_flesch_kincaid_grade
seg2_lix,seg2_gunning_fog,0.7995045733180597,seg2_lix*seg2_gunning_fog
seg2_lix,seg2_automated_readability_index,0.7722044740195757,seg2_lix*seg2_automated_readability_index
seg2_lix,seg2_rix,0.8967098518086035,seg2_lix*seg2_rix
seg1_rix,seg1_sentence_length_median,0.7412134526447847,seg1_rix*seg1_sentence_length_median
seg1_rix,seg1_flesch_kincaid_grade,0.7708568660215965,seg1_rix*seg1_flesch_kincaid_grade
seg1_rix,seg1_gunning_fog,0.7058134442567506,seg1_rix*seg1_gunning_fog
seg1_rix,seg1_lix,0.816956757777804,seg1_rix*seg1_lix
seg2_rix,seg2_sentence_length_median,0.7510238557046028,seg2_rix*seg2_sentence_length_median
seg2_rix,seg2_flesch_kincaid_grade,0.8238172866913577,seg2_rix*seg2_flesch_kincaid_grade
seg2_rix,seg2_gunning_fog,0.7962439231585496,seg2_rix*seg2_gunning_fog
seg2_rix,seg2_automated_readability_index,0.7691088715600001,seg2_rix*seg2_automated_readability_index
seg2_rix,seg2_lix,0.8967098518086035,seg2_rix*seg2_lix
