Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7293189919785538,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_flesch_kincaid_grade,0.7321069085647951,seg1_dependency_distance_mean*seg1_flesch_kincaid_grade
seg1_dependency_distance_mean,seg1_gunning_fog,0.7228189238970405,seg1_dependency_distance_mean*seg1_gunning_fog
seg1_dependency_distance_mean,seg1_automated_readability_index,0.7295958960777039,seg1_dependency_distance_mean*seg1_automated_readability_index
seg2_dependency_distance_mean,seg2_sentence_length_median,0.7274909612610178,seg2_dependency_distance_mean*seg2_sentence_length_median
seg2_dependency_distance_mean,seg2_flesch_kincaid_grade,0.746388388745191,seg2_dependency_distance_mean*seg2_flesch_kincaid_grade
seg2_dependency_distance_mean,seg2_gunning_fog,0.7337838544568881,seg2_dependency_distance_mean*seg2_gunning_fog
seg2_dependency_distance_mean,seg2_automated_readability_index,0.7489258397109251,seg2_dependency_distance_mean*seg2_automated_readability_index
seg2_dependency_distance_mean,seg2_lix,0.7035782926200685,seg2_dependency_distance_mean*seg2_lix
seg1_n_stop_words,seg1_doc_length,0.9639919838133438,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.962972105339114,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_n_unique_tokens,0.9225094975178776,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.9289175863529068,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_flesch_kincaid_grade,0.7089524609641392,seg1_n_stop_words*seg1_flesch_kincaid_grade
seg1_n_stop_words,seg1_automated_readability_index,0.7113313952052951,seg1_n_stop_words*seg1_automated_readability_index
seg2_n_stop_words,seg2_doc_length,0.969663874297024,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9704252880448216,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_n_unique_tokens,0.9201605702996882,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.933445090756812,seg2_n_stop_words*seg2_n_characters
seg2_n_stop_words,seg2_flesch_kincaid_grade,0.7638334564842466,seg2_n_stop_words*seg2_flesch_kincaid_grade
seg2_n_stop_words,seg2_gunning_fog,0.7426572547250161,seg2_n_stop_words*seg2_gunning_fog
