Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_n_stop_words,0.70049630020912,seg1_dependency_distance_mean*seg1_n_stop_words
seg1_dependency_distance_mean,seg1_doc_length,0.7551711690655104,seg1_dependency_distance_mean*seg1_doc_length
seg1_dependency_distance_mean,seg1_n_tokens,0.7313029733371819,seg1_dependency_distance_mean*seg1_n_tokens
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7352606983944175,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_n_unique_tokens,0.742075950196439,seg1_dependency_distance_mean*seg1_n_unique_tokens
seg1_dependency_distance_mean,seg1_n_characters,0.7264932186380291,seg1_dependency_distance_mean*seg1_n_characters
seg2_dependency_distance_mean,seg2_doc_length,0.7430805527717846,seg2_dependency_distance_mean*seg2_doc_length
seg2_dependency_distance_mean,seg2_n_tokens,0.7166034848211401,seg2_dependency_distance_mean*seg2_n_tokens
seg2_dependency_distance_mean,seg2_sentence_length_median,0.7227718577623324,seg2_dependency_distance_mean*seg2_sentence_length_median
seg2_dependency_distance_mean,seg2_n_unique_tokens,0.7207204338708609,seg2_dependency_distance_mean*seg2_n_unique_tokens
seg1_passed_quality_check,seg1_n_unique_tokens,0.7061229080531853,seg1_passed_quality_check*seg1_n_unique_tokens
seg1_n_stop_words,seg1_dependency_distance_mean,0.70049630020912,seg1_n_stop_words*seg1_dependency_distance_mean
seg1_n_stop_words,seg1_doc_length,0.9360770017123604,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9377141020912124,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.9276418809571972,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.9200824968453,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.8788773372189951,seg1_n_stop_words*seg1_n_characters
seg2_n_stop_words,seg2_doc_length,0.9251156519287258,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9306087347553696,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.9142964694894916,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.9087366893814496,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.8598815652226334,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_dependency_distance_mean,0.7551711690655104,seg1_doc_length*seg1_dependency_distance_mean
seg1_doc_length,seg1_n_stop_words,0.9360770017123604,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.991994352561202,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_sentence_length_median,0.9746962579151964,seg1_doc_length*seg1_sentence_length_median
seg1_doc_length,seg1_n_unique_tokens,0.9751622066252223,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9719884963914182,seg1_doc_length*seg1_n_characters
seg1_doc_length,seg1_rix,0.7078051658358203,seg1_doc_length*seg1_rix
seg2_doc_length,seg2_dependency_distance_mean,0.7430805527717846,seg2_doc_length*seg2_dependency_distance_mean
seg2_doc_length,seg2_n_stop_words,0.9251156519287258,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.990049893995694,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_sentence_length_median,0.9566572943054948,seg2_doc_length*seg2_sentence_length_median
seg2_doc_length,seg2_n_unique_tokens,0.9664572979779296,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.96246857906565,seg2_doc_length*seg2_n_characters
seg1_n_tokens,seg1_dependency_distance_mean,0.7313029733371819,seg1_n_tokens*seg1_dependency_distance_mean
seg1_n_tokens,seg1_n_stop_words,0.9377141020912124,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.991994352561202,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_sentence_length_median,0.9867902032588178,seg1_n_tokens*seg1_sentence_length_median
seg1_n_tokens,seg1_n_unique_tokens,0.9858719175815244,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9741150039468682,seg1_n_tokens*seg1_n_characters
seg1_n_tokens,seg1_rix,0.7176480915284484,seg1_n_tokens*seg1_rix
seg2_n_tokens,seg2_dependency_distance_mean,0.7166034848211401,seg2_n_tokens*seg2_dependency_distance_mean
seg2_n_tokens,seg2_n_stop_words,0.9306087347553696,seg2_n_tokens*seg2_n_stop_words
seg2_n_tokens,seg2_doc_length,0.990049893995694,seg2_n_tokens*seg2_doc_length
seg2_n_tokens,seg2_sentence_length_median,0.9740452076275136,seg2_n_tokens*seg2_sentence_length_median
seg2_n_tokens,seg2_n_unique_tokens,0.9817031594059756,seg2_n_tokens*seg2_n_unique_tokens
seg2_n_tokens,seg2_n_characters,0.9643641403054242,seg2_n_tokens*seg2_n_characters
seg2_token_length_median,seg2_flesch_reading_ease,-0.8557963202868002,seg2_token_length_median*seg2_flesch_reading_ease
seg2_token_length_median,seg2_flesch_kincaid_grade,0.8037500882164602,seg2_token_length_median*seg2_flesch_kincaid_grade
seg2_token_length_median,seg2_automated_readability_index,0.960686148092477,seg2_token_length_median*seg2_automated_readability_index
seg2_token_length_median,seg2_coleman_liau_index,0.9739115394541304,seg2_token_length_median*seg2_coleman_liau_index
seg1_sentence_length_median,seg1_dependency_distance_mean,0.7352606983944175,seg1_sentence_length_median*seg1_dependency_distance_mean
seg1_sentence_length_median,seg1_n_stop_words,0.9276418809571972,seg1_sentence_length_median*seg1_n_stop_words
seg1_sentence_length_median,seg1_doc_length,0.9746962579151964,seg1_sentence_length_median*seg1_doc_length
seg1_sentence_length_median,seg1_n_tokens,0.9867902032588178,seg1_sentence_length_median*seg1_n_tokens
seg1_sentence_length_median,seg1_n_unique_tokens,0.9756939831493292,seg1_sentence_length_median*seg1_n_unique_tokens
seg1_sentence_length_median,seg1_n_characters,0.9626658454297992,seg1_sentence_length_median*seg1_n_characters
seg1_sentence_length_median,seg1_rix,0.7311726952820995,seg1_sentence_length_median*seg1_rix
seg2_sentence_length_median,seg2_dependency_distance_mean,0.7227718577623324,seg2_sentence_length_median*seg2_dependency_distance_mean
seg2_sentence_length_median,seg2_n_stop_words,0.9142964694894916,seg2_sentence_length_median*seg2_n_stop_words
seg2_sentence_length_median,seg2_doc_length,0.9566572943054948,seg2_sentence_length_median*seg2_doc_length
seg2_sentence_length_median,seg2_n_tokens,0.9740452076275136,seg2_sentence_length_median*seg2_n_tokens
seg2_sentence_length_median,seg2_n_unique_tokens,0.959192374933162,seg2_sentence_length_median*seg2_n_unique_tokens
seg2_sentence_length_median,seg2_n_characters,0.9382136154114082,seg2_sentence_length_median*seg2_n_characters
seg1_n_unique_tokens,seg1_dependency_distance_mean,0.742075950196439,seg1_n_unique_tokens*seg1_dependency_distance_mean
seg1_n_unique_tokens,seg1_passed_quality_check,0.7061229080531853,seg1_n_unique_tokens*seg1_passed_quality_check
seg1_n_unique_tokens,seg1_n_stop_words,0.9200824968453,seg1_n_unique_tokens*seg1_n_stop_words
seg1_n_unique_tokens,seg1_doc_length,0.9751622066252223,seg1_n_unique_tokens*seg1_doc_length
seg1_n_unique_tokens,seg1_n_tokens,0.9858719175815244,seg1_n_unique_tokens*seg1_n_tokens
seg1_n_unique_tokens,seg1_sentence_length_median,0.9756939831493292,seg1_n_unique_tokens*seg1_sentence_length_median
seg1_n_unique_tokens,seg1_n_characters,0.9628473482357672,seg1_n_unique_tokens*seg1_n_characters
seg1_n_unique_tokens,seg1_rix,0.7140970183632283,seg1_n_unique_tokens*seg1_rix
seg2_n_unique_tokens,seg2_dependency_distance_mean,0.7207204338708609,seg2_n_unique_tokens*seg2_dependency_distance_mean
seg2_n_unique_tokens,seg2_n_stop_words,0.9087366893814496,seg2_n_unique_tokens*seg2_n_stop_words
seg2_n_unique_tokens,seg2_doc_length,0.9664572979779296,seg2_n_unique_tokens*seg2_doc_length
seg2_n_unique_tokens,seg2_n_tokens,0.9817031594059756,seg2_n_unique_tokens*seg2_n_tokens
seg2_n_unique_tokens,seg2_sentence_length_median,0.959192374933162,seg2_n_unique_tokens*seg2_sentence_length_median
seg2_n_unique_tokens,seg2_n_characters,0.9511826936625946,seg2_n_unique_tokens*seg2_n_characters
seg1_n_characters,seg1_dependency_distance_mean,0.7264932186380291,seg1_n_characters*seg1_dependency_distance_mean
seg1_n_characters,seg1_n_stop_words,0.8788773372189951,seg1_n_characters*seg1_n_stop_words
seg1_n_characters,seg1_doc_length,0.9719884963914182,seg1_n_characters*seg1_doc_length
seg1_n_characters,seg1_n_tokens,0.9741150039468682,seg1_n_characters*seg1_n_tokens
seg1_n_characters,seg1_sentence_length_median,0.9626658454297992,seg1_n_characters*seg1_sentence_length_median
seg1_n_characters,seg1_n_unique_tokens,0.9628473482357672,seg1_n_characters*seg1_n_unique_tokens
seg1_n_characters,seg1_flesch_kincaid_grade,0.7549015407022805,seg1_n_characters*seg1_flesch_kincaid_grade
seg1_n_characters,seg1_automated_readability_index,0.7555048166544803,seg1_n_characters*seg1_automated_readability_index
seg1_n_characters,seg1_rix,0.8205692355824311,seg1_n_characters*seg1_rix
seg2_n_characters,seg2_n_stop_words,0.8598815652226334,seg2_n_characters*seg2_n_stop_words
seg2_n_characters,seg2_doc_length,0.96246857906565,seg2_n_characters*seg2_doc_length
seg2_n_characters,seg2_n_tokens,0.9643641403054242,seg2_n_characters*seg2_n_tokens
seg2_n_characters,seg2_sentence_length_median,0.9382136154114082,seg2_n_characters*seg2_sentence_length_median
seg2_n_characters,seg2_n_unique_tokens,0.9511826936625946,seg2_n_characters*seg2_n_unique_tokens
seg2_n_characters,seg2_rix,0.7676500365061141,seg2_n_characters*seg2_rix
seg1_flesch_reading_ease,seg1_flesch_kincaid_grade,-0.9042642233027391,seg1_flesch_reading_ease*seg1_flesch_kincaid_grade
seg1_flesch_reading_ease,seg1_gunning_fog,-0.7947784455105307,seg1_flesch_reading_ease*seg1_gunning_fog
seg1_flesch_reading_ease,seg1_automated_readability_index,-0.7528116201491244,seg1_flesch_reading_ease*seg1_automated_readability_index
seg1_flesch_reading_ease,seg1_lix,-0.7632658702193893,seg1_flesch_reading_ease*seg1_lix
seg2_flesch_reading_ease,seg2_token_length_median,-0.8557963202868002,seg2_flesch_reading_ease*seg2_token_length_median
seg2_flesch_reading_ease,seg2_flesch_kincaid_grade,-0.976963283744813,seg2_flesch_reading_ease*seg2_flesch_kincaid_grade
seg2_flesch_reading_ease,seg2_automated_readability_index,-0.8863022923368622,seg2_flesch_reading_ease*seg2_automated_readability_index
seg2_flesch_reading_ease,seg2_coleman_liau_index,-0.8825027207532664,seg2_flesch_reading_ease*seg2_coleman_liau_index
seg1_flesch_kincaid_grade,seg1_n_characters,0.7549015407022805,seg1_flesch_kincaid_grade*seg1_n_characters
seg1_flesch_kincaid_grade,seg1_flesch_reading_ease,-0.9042642233027391,seg1_flesch_kincaid_grade*seg1_flesch_reading_ease
seg1_flesch_kincaid_grade,seg1_gunning_fog,0.8692467181181246,seg1_flesch_kincaid_grade*seg1_gunning_fog
seg1_flesch_kincaid_grade,seg1_automated_readability_index,0.867468723772869,seg1_flesch_kincaid_grade*seg1_automated_readability_index
seg1_flesch_kincaid_grade,seg1_lix,0.7489139743975524,seg1_flesch_kincaid_grade*seg1_lix
seg1_flesch_kincaid_grade,seg1_rix,0.8052333220605995,seg1_flesch_kincaid_grade*seg1_rix
seg2_flesch_kincaid_grade,seg2_token_length_median,0.8037500882164602,seg2_flesch_kincaid_grade*seg2_token_length_median
seg2_flesch_kincaid_grade,seg2_flesch_reading_ease,-0.976963283744813,seg2_flesch_kincaid_grade*seg2_flesch_reading_ease
seg2_flesch_kincaid_grade,seg2_automated_readability_index,0.8805181059427479,seg2_flesch_kincaid_grade*seg2_automated_readability_index
seg2_flesch_kincaid_grade,seg2_coleman_liau_index,0.8519550369740874,seg2_flesch_kincaid_grade*seg2_coleman_liau_index
