Feature1,Feature2,CorrVal,RCode
seg1_n_stop_words,seg1_doc_length,0.946634956608594,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.956787340333449,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.9037556323732936,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.9283574781016029,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.8938169419916583,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_flesch_kincaid_grade,0.7198002744819485,seg1_n_stop_words*seg1_flesch_kincaid_grade
seg2_n_stop_words,seg2_doc_length,0.9273984964437006,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9440296705812706,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.8874995493390646,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.9035340267533876,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.8682094199659064,seg2_n_stop_words*seg2_n_characters
seg2_n_stop_words,seg2_flesch_kincaid_grade,0.7034309894393649,seg2_n_stop_words*seg2_flesch_kincaid_grade
seg1_doc_length,seg1_n_stop_words,0.946634956608594,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.990156209547144,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_sentence_length_median,0.947802810092846,seg1_doc_length*seg1_sentence_length_median
seg1_doc_length,seg1_n_unique_tokens,0.9745875402851468,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9685119551998012,seg1_doc_length*seg1_n_characters
seg1_doc_length,seg1_flesch_kincaid_grade,0.8045997096896245,seg1_doc_length*seg1_flesch_kincaid_grade
seg1_doc_length,seg1_gunning_fog,0.7217085521464944,seg1_doc_length*seg1_gunning_fog
seg1_doc_length,seg1_automated_readability_index,0.7901234069872505,seg1_doc_length*seg1_automated_readability_index
seg1_doc_length,seg1_rix,0.7169850614455221,seg1_doc_length*seg1_rix
seg2_doc_length,seg2_n_stop_words,0.9273984964437006,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.9914688139508464,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_sentence_length_median,0.953537975222751,seg2_doc_length*seg2_sentence_length_median
seg2_doc_length,seg2_n_unique_tokens,0.9776316042872764,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.969354197003833,seg2_doc_length*seg2_n_characters
seg2_doc_length,seg2_flesch_kincaid_grade,0.8176131187010724,seg2_doc_length*seg2_flesch_kincaid_grade
seg2_doc_length,seg2_gunning_fog,0.7423497770315565,seg2_doc_length*seg2_gunning_fog
seg2_doc_length,seg2_automated_readability_index,0.807685080729753,seg2_doc_length*seg2_automated_readability_index
seg2_doc_length,seg2_rix,0.7510866954967056,seg2_doc_length*seg2_rix
seg1_n_tokens,seg1_n_stop_words,0.956787340333449,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.990156209547144,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_sentence_length_median,0.9508213059069902,seg1_n_tokens*seg1_sentence_length_median
seg1_n_tokens,seg1_n_unique_tokens,0.9744773368243616,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9725873485068588,seg1_n_tokens*seg1_n_characters
seg1_n_tokens,seg1_flesch_kincaid_grade,0.8149211043414791,seg1_n_tokens*seg1_flesch_kincaid_grade
seg1_n_tokens,seg1_gunning_fog,0.7315547621338868,seg1_n_tokens*seg1_gunning_fog
seg1_n_tokens,seg1_automated_readability_index,0.7959001972444522,seg1_n_tokens*seg1_automated_readability_index
seg1_n_tokens,seg1_rix,0.7294152772218793,seg1_n_tokens*seg1_rix
