Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7267428110767397,seg1_dependency_distance_mean*seg1_sentence_length_median
seg2_dependency_distance_mean,seg2_sentence_length_median,0.7504067821224661,seg2_dependency_distance_mean*seg2_sentence_length_median
seg1_n_stop_words,seg1_doc_length,0.979366007327098,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9848277997936494,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_n_unique_tokens,0.9422518451145362,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.9661210298313144,seg1_n_stop_words*seg1_n_characters
seg1_n_stop_words,seg1_n_sentences,0.8724218862391158,seg1_n_stop_words*seg1_n_sentences
seg2_n_stop_words,seg2_doc_length,0.978924733039226,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.9839169476381424,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_n_unique_tokens,0.9642929647630104,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.9641366134192516,seg2_n_stop_words*seg2_n_characters
seg2_n_stop_words,seg2_n_sentences,0.8077341380860631,seg2_n_stop_words*seg2_n_sentences
seg1_doc_length,seg1_n_stop_words,0.979366007327098,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.997411225593002,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_n_unique_tokens,0.955997311818487,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9929658301569634,seg1_doc_length*seg1_n_characters
seg1_doc_length,seg1_n_sentences,0.8731116818275986,seg1_doc_length*seg1_n_sentences
seg2_doc_length,seg2_n_stop_words,0.978924733039226,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.9971962960546924,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_n_unique_tokens,0.9781051551986668,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.991922601703427,seg2_doc_length*seg2_n_characters
seg2_doc_length,seg2_n_sentences,0.8301490781858134,seg2_doc_length*seg2_n_sentences
seg1_n_tokens,seg1_n_stop_words,0.9848277997936494,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.997411225593002,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_n_unique_tokens,0.9593269227776686,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9934007132077954,seg1_n_tokens*seg1_n_characters
seg1_n_tokens,seg1_n_sentences,0.868912382997509,seg1_n_tokens*seg1_n_sentences
seg2_n_tokens,seg2_n_stop_words,0.9839169476381424,seg2_n_tokens*seg2_n_stop_words
seg2_n_tokens,seg2_doc_length,0.9971962960546924,seg2_n_tokens*seg2_doc_length
seg2_n_tokens,seg2_n_unique_tokens,0.980306000539879,seg2_n_tokens*seg2_n_unique_tokens
seg2_n_tokens,seg2_n_characters,0.992309233800257,seg2_n_tokens*seg2_n_characters
seg2_n_tokens,seg2_n_sentences,0.8200506283219846,seg2_n_tokens*seg2_n_sentences
seg1_token_length_median,seg1_flesch_reading_ease,-0.7073802034348953,seg1_token_length_median*seg1_flesch_reading_ease
seg1_sentence_length_median,seg1_dependency_distance_mean,0.7267428110767397,seg1_sentence_length_median*seg1_dependency_distance_mean
seg1_sentence_length_median,seg1_flesch_kincaid_grade,0.7043617426572655,seg1_sentence_length_median*seg1_flesch_kincaid_grade
seg1_sentence_length_median,seg1_gunning_fog,0.7795054968463816,seg1_sentence_length_median*seg1_gunning_fog
seg1_sentence_length_median,seg1_rix,0.8463296557871384,seg1_sentence_length_median*seg1_rix
seg2_sentence_length_median,seg2_dependency_distance_mean,0.7504067821224661,seg2_sentence_length_median*seg2_dependency_distance_mean
seg2_sentence_length_median,seg2_rix,0.8163099227559693,seg2_sentence_length_median*seg2_rix
seg1_n_unique_tokens,seg1_n_stop_words,0.9422518451145362,seg1_n_unique_tokens*seg1_n_stop_words
seg1_n_unique_tokens,seg1_doc_length,0.955997311818487,seg1_n_unique_tokens*seg1_doc_length
seg1_n_unique_tokens,seg1_n_tokens,0.9593269227776686,seg1_n_unique_tokens*seg1_n_tokens
seg1_n_unique_tokens,seg1_n_characters,0.955782208335084,seg1_n_unique_tokens*seg1_n_characters
seg1_n_unique_tokens,seg1_n_sentences,0.8092896020337322,seg1_n_unique_tokens*seg1_n_sentences
seg2_n_unique_tokens,seg2_n_stop_words,0.9642929647630104,seg2_n_unique_tokens*seg2_n_stop_words
seg2_n_unique_tokens,seg2_doc_length,0.9781051551986668,seg2_n_unique_tokens*seg2_doc_length
seg2_n_unique_tokens,seg2_n_tokens,0.980306000539879,seg2_n_unique_tokens*seg2_n_tokens
seg2_n_unique_tokens,seg2_n_characters,0.974456092577082,seg2_n_unique_tokens*seg2_n_characters
seg2_n_unique_tokens,seg2_n_sentences,0.8056180271475802,seg2_n_unique_tokens*seg2_n_sentences
seg1_n_characters,seg1_n_stop_words,0.9661210298313144,seg1_n_characters*seg1_n_stop_words
seg1_n_characters,seg1_doc_length,0.9929658301569634,seg1_n_characters*seg1_doc_length
seg1_n_characters,seg1_n_tokens,0.9934007132077954,seg1_n_characters*seg1_n_tokens
seg1_n_characters,seg1_n_unique_tokens,0.955782208335084,seg1_n_characters*seg1_n_unique_tokens
seg1_n_characters,seg1_n_sentences,0.8549389146026316,seg1_n_characters*seg1_n_sentences
seg2_n_characters,seg2_n_stop_words,0.9641366134192516,seg2_n_characters*seg2_n_stop_words
seg2_n_characters,seg2_doc_length,0.991922601703427,seg2_n_characters*seg2_doc_length
seg2_n_characters,seg2_n_tokens,0.992309233800257,seg2_n_characters*seg2_n_tokens
seg2_n_characters,seg2_n_unique_tokens,0.974456092577082,seg2_n_characters*seg2_n_unique_tokens
seg2_n_characters,seg2_n_sentences,0.8154906559032847,seg2_n_characters*seg2_n_sentences
seg1_n_sentences,seg1_n_stop_words,0.8724218862391158,seg1_n_sentences*seg1_n_stop_words
seg1_n_sentences,seg1_doc_length,0.8731116818275986,seg1_n_sentences*seg1_doc_length
seg1_n_sentences,seg1_n_tokens,0.868912382997509,seg1_n_sentences*seg1_n_tokens
seg1_n_sentences,seg1_n_unique_tokens,0.8092896020337322,seg1_n_sentences*seg1_n_unique_tokens
seg1_n_sentences,seg1_n_characters,0.8549389146026316,seg1_n_sentences*seg1_n_characters
seg2_n_sentences,seg2_n_stop_words,0.8077341380860631,seg2_n_sentences*seg2_n_stop_words
seg2_n_sentences,seg2_doc_length,0.8301490781858134,seg2_n_sentences*seg2_doc_length
seg2_n_sentences,seg2_n_tokens,0.8200506283219846,seg2_n_sentences*seg2_n_tokens
seg2_n_sentences,seg2_n_unique_tokens,0.8056180271475802,seg2_n_sentences*seg2_n_unique_tokens
seg2_n_sentences,seg2_n_characters,0.8154906559032847,seg2_n_sentences*seg2_n_characters
seg1_flesch_reading_ease,seg1_token_length_median,-0.7073802034348953,seg1_flesch_reading_ease*seg1_token_length_median
seg1_flesch_reading_ease,seg1_flesch_kincaid_grade,-0.90170745648255,seg1_flesch_reading_ease*seg1_flesch_kincaid_grade
seg1_flesch_reading_ease,seg1_automated_readability_index,-0.8797499452297506,seg1_flesch_reading_ease*seg1_automated_readability_index
seg1_flesch_reading_ease,seg1_coleman_liau_index,-0.8092503051794528,seg1_flesch_reading_ease*seg1_coleman_liau_index
seg2_flesch_reading_ease,seg2_flesch_kincaid_grade,-0.9003349737427517,seg2_flesch_reading_ease*seg2_flesch_kincaid_grade
seg2_flesch_reading_ease,seg2_gunning_fog,-0.827998593696035,seg2_flesch_reading_ease*seg2_gunning_fog
seg2_flesch_reading_ease,seg2_automated_readability_index,-0.7999112723899475,seg2_flesch_reading_ease*seg2_automated_readability_index
seg2_flesch_reading_ease,seg2_lix,-0.7719166995558495,seg2_flesch_reading_ease*seg2_lix
seg1_flesch_kincaid_grade,seg1_sentence_length_median,0.7043617426572655,seg1_flesch_kincaid_grade*seg1_sentence_length_median
seg1_flesch_kincaid_grade,seg1_flesch_reading_ease,-0.90170745648255,seg1_flesch_kincaid_grade*seg1_flesch_reading_ease
seg1_flesch_kincaid_grade,seg1_gunning_fog,0.8856571733967338,seg1_flesch_kincaid_grade*seg1_gunning_fog
seg1_flesch_kincaid_grade,seg1_automated_readability_index,0.9068067227479428,seg1_flesch_kincaid_grade*seg1_automated_readability_index
seg1_flesch_kincaid_grade,seg1_lix,0.8030522406180549,seg1_flesch_kincaid_grade*seg1_lix
seg1_flesch_kincaid_grade,seg1_rix,0.768832524126191,seg1_flesch_kincaid_grade*seg1_rix
seg2_flesch_kincaid_grade,seg2_flesch_reading_ease,-0.9003349737427517,seg2_flesch_kincaid_grade*seg2_flesch_reading_ease
seg2_flesch_kincaid_grade,seg2_gunning_fog,0.9059319815225468,seg2_flesch_kincaid_grade*seg2_gunning_fog
seg2_flesch_kincaid_grade,seg2_automated_readability_index,0.8949485827005584,seg2_flesch_kincaid_grade*seg2_automated_readability_index
seg2_flesch_kincaid_grade,seg2_lix,0.8264980023689277,seg2_flesch_kincaid_grade*seg2_lix
seg2_flesch_kincaid_grade,seg2_rix,0.7636901944151395,seg2_flesch_kincaid_grade*seg2_rix
seg1_gunning_fog,seg1_sentence_length_median,0.7795054968463816,seg1_gunning_fog*seg1_sentence_length_median
seg1_gunning_fog,seg1_flesch_kincaid_grade,0.8856571733967338,seg1_gunning_fog*seg1_flesch_kincaid_grade
seg1_gunning_fog,seg1_automated_readability_index,0.7004261813416742,seg1_gunning_fog*seg1_automated_readability_index
seg1_gunning_fog,seg1_lix,0.8060082224334354,seg1_gunning_fog*seg1_lix
seg1_gunning_fog,seg1_rix,0.8364994949761478,seg1_gunning_fog*seg1_rix
seg2_gunning_fog,seg2_flesch_reading_ease,-0.827998593696035,seg2_gunning_fog*seg2_flesch_reading_ease
seg2_gunning_fog,seg2_flesch_kincaid_grade,0.9059319815225468,seg2_gunning_fog*seg2_flesch_kincaid_grade
seg2_gunning_fog,seg2_automated_readability_index,0.7572269163600883,seg2_gunning_fog*seg2_automated_readability_index
seg2_gunning_fog,seg2_lix,0.7757910597570755,seg2_gunning_fog*seg2_lix
seg1_automated_readability_index,seg1_flesch_reading_ease,-0.8797499452297506,seg1_automated_readability_index*seg1_flesch_reading_ease
seg1_automated_readability_index,seg1_flesch_kincaid_grade,0.9068067227479428,seg1_automated_readability_index*seg1_flesch_kincaid_grade
seg1_automated_readability_index,seg1_gunning_fog,0.7004261813416742,seg1_automated_readability_index*seg1_gunning_fog
seg1_automated_readability_index,seg1_coleman_liau_index,0.8476938208250848,seg1_automated_readability_index*seg1_coleman_liau_index
seg2_automated_readability_index,seg2_flesch_reading_ease,-0.7999112723899475,seg2_automated_readability_index*seg2_flesch_reading_ease
seg2_automated_readability_index,seg2_flesch_kincaid_grade,0.8949485827005584,seg2_automated_readability_index*seg2_flesch_kincaid_grade
seg2_automated_readability_index,seg2_gunning_fog,0.7572269163600883,seg2_automated_readability_index*seg2_gunning_fog
seg2_automated_readability_index,seg2_coleman_liau_index,0.8190229613930994,seg2_automated_readability_index*seg2_coleman_liau_index
seg2_automated_readability_index,seg2_lix,0.803228235590772,seg2_automated_readability_index*seg2_lix
seg2_automated_readability_index,seg2_rix,0.7081276790877429,seg2_automated_readability_index*seg2_rix
seg1_coleman_liau_index,seg1_flesch_reading_ease,-0.8092503051794528,seg1_coleman_liau_index*seg1_flesch_reading_ease
seg1_coleman_liau_index,seg1_automated_readability_index,0.8476938208250848,seg1_coleman_liau_index*seg1_automated_readability_index
seg2_coleman_liau_index,seg2_automated_readability_index,0.8190229613930994,seg2_coleman_liau_index*seg2_automated_readability_index
seg1_lix,seg1_flesch_kincaid_grade,0.8030522406180549,seg1_lix*seg1_flesch_kincaid_grade
seg1_lix,seg1_gunning_fog,0.8060082224334354,seg1_lix*seg1_gunning_fog
seg1_lix,seg1_rix,0.8333276122192654,seg1_lix*seg1_rix
seg2_lix,seg2_flesch_reading_ease,-0.7719166995558495,seg2_lix*seg2_flesch_reading_ease
seg2_lix,seg2_flesch_kincaid_grade,0.8264980023689277,seg2_lix*seg2_flesch_kincaid_grade
seg2_lix,seg2_gunning_fog,0.7757910597570755,seg2_lix*seg2_gunning_fog
seg2_lix,seg2_automated_readability_index,0.803228235590772,seg2_lix*seg2_automated_readability_index
seg2_lix,seg2_rix,0.7464176292991396,seg2_lix*seg2_rix
seg1_rix,seg1_sentence_length_median,0.8463296557871384,seg1_rix*seg1_sentence_length_median
seg1_rix,seg1_flesch_kincaid_grade,0.768832524126191,seg1_rix*seg1_flesch_kincaid_grade
seg1_rix,seg1_gunning_fog,0.8364994949761478,seg1_rix*seg1_gunning_fog
seg1_rix,seg1_lix,0.8333276122192654,seg1_rix*seg1_lix
seg2_rix,seg2_sentence_length_median,0.8163099227559693,seg2_rix*seg2_sentence_length_median
seg2_rix,seg2_flesch_kincaid_grade,0.7636901944151395,seg2_rix*seg2_flesch_kincaid_grade
seg2_rix,seg2_automated_readability_index,0.7081276790877429,seg2_rix*seg2_automated_readability_index
seg2_rix,seg2_lix,0.7464176292991396,seg2_rix*seg2_lix
