Feature1,Feature2,CorrVal,RCode
seg1_dependency_distance_mean,seg1_doc_length,0.7558846336512364,seg1_dependency_distance_mean*seg1_doc_length
seg1_dependency_distance_mean,seg1_n_tokens,0.7261636416955574,seg1_dependency_distance_mean*seg1_n_tokens
seg1_dependency_distance_mean,seg1_sentence_length_median,0.7398597659426586,seg1_dependency_distance_mean*seg1_sentence_length_median
seg1_dependency_distance_mean,seg1_n_unique_tokens,0.7229959239099317,seg1_dependency_distance_mean*seg1_n_unique_tokens
seg2_dependency_distance_mean,seg2_doc_length,0.7570247813593785,seg2_dependency_distance_mean*seg2_doc_length
seg2_dependency_distance_mean,seg2_n_tokens,0.731818516566069,seg2_dependency_distance_mean*seg2_n_tokens
seg2_dependency_distance_mean,seg2_sentence_length_median,0.7318678666443519,seg2_dependency_distance_mean*seg2_sentence_length_median
seg2_dependency_distance_mean,seg2_n_unique_tokens,0.7336442040140915,seg2_dependency_distance_mean*seg2_n_unique_tokens
seg1_n_stop_words,seg1_doc_length,0.9188218115426892,seg1_n_stop_words*seg1_doc_length
seg1_n_stop_words,seg1_n_tokens,0.9274972899867318,seg1_n_stop_words*seg1_n_tokens
seg1_n_stop_words,seg1_sentence_length_median,0.8886750783497079,seg1_n_stop_words*seg1_sentence_length_median
seg1_n_stop_words,seg1_n_unique_tokens,0.9177432935572004,seg1_n_stop_words*seg1_n_unique_tokens
seg1_n_stop_words,seg1_n_characters,0.8074260813465841,seg1_n_stop_words*seg1_n_characters
seg2_n_stop_words,seg2_doc_length,0.8857228386790243,seg2_n_stop_words*seg2_doc_length
seg2_n_stop_words,seg2_n_tokens,0.885015205679832,seg2_n_stop_words*seg2_n_tokens
seg2_n_stop_words,seg2_sentence_length_median,0.8815007846549907,seg2_n_stop_words*seg2_sentence_length_median
seg2_n_stop_words,seg2_n_unique_tokens,0.8675607396637107,seg2_n_stop_words*seg2_n_unique_tokens
seg2_n_stop_words,seg2_n_characters,0.7208746638012917,seg2_n_stop_words*seg2_n_characters
seg1_doc_length,seg1_dependency_distance_mean,0.7558846336512364,seg1_doc_length*seg1_dependency_distance_mean
seg1_doc_length,seg1_n_stop_words,0.9188218115426892,seg1_doc_length*seg1_n_stop_words
seg1_doc_length,seg1_n_tokens,0.98628365978739,seg1_doc_length*seg1_n_tokens
seg1_doc_length,seg1_sentence_length_median,0.9476392306662764,seg1_doc_length*seg1_sentence_length_median
seg1_doc_length,seg1_n_unique_tokens,0.976118180046758,seg1_doc_length*seg1_n_unique_tokens
seg1_doc_length,seg1_n_characters,0.9344825038765184,seg1_doc_length*seg1_n_characters
seg2_doc_length,seg2_dependency_distance_mean,0.7570247813593785,seg2_doc_length*seg2_dependency_distance_mean
seg2_doc_length,seg2_n_stop_words,0.8857228386790243,seg2_doc_length*seg2_n_stop_words
seg2_doc_length,seg2_n_tokens,0.9883512581992192,seg2_doc_length*seg2_n_tokens
seg2_doc_length,seg2_sentence_length_median,0.9843310721367136,seg2_doc_length*seg2_sentence_length_median
seg2_doc_length,seg2_n_unique_tokens,0.9729054598845698,seg2_doc_length*seg2_n_unique_tokens
seg2_doc_length,seg2_n_characters,0.8999977735736072,seg2_doc_length*seg2_n_characters
seg1_n_tokens,seg1_dependency_distance_mean,0.7261636416955574,seg1_n_tokens*seg1_dependency_distance_mean
seg1_n_tokens,seg1_n_stop_words,0.9274972899867318,seg1_n_tokens*seg1_n_stop_words
seg1_n_tokens,seg1_doc_length,0.98628365978739,seg1_n_tokens*seg1_doc_length
seg1_n_tokens,seg1_sentence_length_median,0.9703703192120912,seg1_n_tokens*seg1_sentence_length_median
seg1_n_tokens,seg1_n_unique_tokens,0.9885643321937946,seg1_n_tokens*seg1_n_unique_tokens
seg1_n_tokens,seg1_n_characters,0.9415486251096225,seg1_n_tokens*seg1_n_characters
seg2_n_tokens,seg2_dependency_distance_mean,0.731818516566069,seg2_n_tokens*seg2_dependency_distance_mean
seg2_n_tokens,seg2_n_stop_words,0.885015205679832,seg2_n_tokens*seg2_n_stop_words
seg2_n_tokens,seg2_doc_length,0.9883512581992192,seg2_n_tokens*seg2_doc_length
seg2_n_tokens,seg2_sentence_length_median,0.9970229469609032,seg2_n_tokens*seg2_sentence_length_median
seg2_n_tokens,seg2_n_unique_tokens,0.9831337750872738,seg2_n_tokens*seg2_n_unique_tokens
seg2_n_tokens,seg2_n_characters,0.9105092175515432,seg2_n_tokens*seg2_n_characters
seg1_token_length_median,seg1_coleman_liau_index,0.7499489802247259,seg1_token_length_median*seg1_coleman_liau_index
seg2_token_length_median,seg2_coleman_liau_index,0.8051998261460044,seg2_token_length_median*seg2_coleman_liau_index
seg1_sentence_length_median,seg1_dependency_distance_mean,0.7398597659426586,seg1_sentence_length_median*seg1_dependency_distance_mean
seg1_sentence_length_median,seg1_n_stop_words,0.8886750783497079,seg1_sentence_length_median*seg1_n_stop_words
seg1_sentence_length_median,seg1_doc_length,0.9476392306662764,seg1_sentence_length_median*seg1_doc_length
seg1_sentence_length_median,seg1_n_tokens,0.9703703192120912,seg1_sentence_length_median*seg1_n_tokens
seg1_sentence_length_median,seg1_n_unique_tokens,0.956951204961205,seg1_sentence_length_median*seg1_n_unique_tokens
seg1_sentence_length_median,seg1_n_characters,0.9205907289159562,seg1_sentence_length_median*seg1_n_characters
seg2_sentence_length_median,seg2_dependency_distance_mean,0.7318678666443519,seg2_sentence_length_median*seg2_dependency_distance_mean
seg2_sentence_length_median,seg2_n_stop_words,0.8815007846549907,seg2_sentence_length_median*seg2_n_stop_words
seg2_sentence_length_median,seg2_doc_length,0.9843310721367136,seg2_sentence_length_median*seg2_doc_length
seg2_sentence_length_median,seg2_n_tokens,0.9970229469609032,seg2_sentence_length_median*seg2_n_tokens
seg2_sentence_length_median,seg2_n_unique_tokens,0.9794635924441676,seg2_sentence_length_median*seg2_n_unique_tokens
seg2_sentence_length_median,seg2_n_characters,0.9108099426261,seg2_sentence_length_median*seg2_n_characters
seg1_n_unique_tokens,seg1_dependency_distance_mean,0.7229959239099317,seg1_n_unique_tokens*seg1_dependency_distance_mean
seg1_n_unique_tokens,seg1_n_stop_words,0.9177432935572004,seg1_n_unique_tokens*seg1_n_stop_words
seg1_n_unique_tokens,seg1_doc_length,0.976118180046758,seg1_n_unique_tokens*seg1_doc_length
seg1_n_unique_tokens,seg1_n_tokens,0.9885643321937946,seg1_n_unique_tokens*seg1_n_tokens
seg1_n_unique_tokens,seg1_sentence_length_median,0.956951204961205,seg1_n_unique_tokens*seg1_sentence_length_median
seg1_n_unique_tokens,seg1_n_characters,0.9347103641017128,seg1_n_unique_tokens*seg1_n_characters
seg2_n_unique_tokens,seg2_dependency_distance_mean,0.7336442040140915,seg2_n_unique_tokens*seg2_dependency_distance_mean
seg2_n_unique_tokens,seg2_n_stop_words,0.8675607396637107,seg2_n_unique_tokens*seg2_n_stop_words
seg2_n_unique_tokens,seg2_doc_length,0.9729054598845698,seg2_n_unique_tokens*seg2_doc_length
seg2_n_unique_tokens,seg2_n_tokens,0.9831337750872738,seg2_n_unique_tokens*seg2_n_tokens
seg2_n_unique_tokens,seg2_sentence_length_median,0.9794635924441676,seg2_n_unique_tokens*seg2_sentence_length_median
seg2_n_unique_tokens,seg2_n_characters,0.904609438684298,seg2_n_unique_tokens*seg2_n_characters
seg1_n_characters,seg1_n_stop_words,0.8074260813465841,seg1_n_characters*seg1_n_stop_words
seg1_n_characters,seg1_doc_length,0.9344825038765184,seg1_n_characters*seg1_doc_length
seg1_n_characters,seg1_n_tokens,0.9415486251096225,seg1_n_characters*seg1_n_tokens
seg1_n_characters,seg1_sentence_length_median,0.9205907289159562,seg1_n_characters*seg1_sentence_length_median
seg1_n_characters,seg1_n_unique_tokens,0.9347103641017128,seg1_n_characters*seg1_n_unique_tokens
seg1_n_characters,seg1_rix,0.7156123274809816,seg1_n_characters*seg1_rix
seg2_n_characters,seg2_n_stop_words,0.7208746638012917,seg2_n_characters*seg2_n_stop_words
seg2_n_characters,seg2_doc_length,0.8999977735736072,seg2_n_characters*seg2_doc_length
seg2_n_characters,seg2_n_tokens,0.9105092175515432,seg2_n_characters*seg2_n_tokens
seg2_n_characters,seg2_sentence_length_median,0.9108099426261,seg2_n_characters*seg2_sentence_length_median
seg2_n_characters,seg2_n_unique_tokens,0.904609438684298,seg2_n_characters*seg2_n_unique_tokens
seg2_n_characters,seg2_flesch_kincaid_grade,0.7513458050266236,seg2_n_characters*seg2_flesch_kincaid_grade
seg2_n_characters,seg2_automated_readability_index,0.7372700658915369,seg2_n_characters*seg2_automated_readability_index
seg2_n_characters,seg2_rix,0.7623984092210722,seg2_n_characters*seg2_rix
seg1_flesch_reading_ease,seg1_flesch_kincaid_grade,-0.9136338751177135,seg1_flesch_reading_ease*seg1_flesch_kincaid_grade
seg1_flesch_reading_ease,seg1_gunning_fog,-0.8139779789471934,seg1_flesch_reading_ease*seg1_gunning_fog
seg1_flesch_reading_ease,seg1_automated_readability_index,-0.8105278418579969,seg1_flesch_reading_ease*seg1_automated_readability_index
seg1_flesch_reading_ease,seg1_coleman_liau_index,-0.8605525220666672,seg1_flesch_reading_ease*seg1_coleman_liau_index
seg1_flesch_reading_ease,seg1_lix,-0.8060257124872179,seg1_flesch_reading_ease*seg1_lix
seg2_flesch_reading_ease,seg2_flesch_kincaid_grade,-0.9492410991398784,seg2_flesch_reading_ease*seg2_flesch_kincaid_grade
seg2_flesch_reading_ease,seg2_gunning_fog,-0.8984114768818167,seg2_flesch_reading_ease*seg2_gunning_fog
