Feature,Coefficient,Beta_Coefficient,Odds Ratio,P_val,Significance,diff_from_mean_coeff
seg1_automated_readability_index,0.2403108952195055,1.335841078190895,1.271644437048233,0.0001312407301067,***,0.39035110187995686
seg1_gunning_fog,0.1207658282813536,0.569000397310316,1.1283606512743527,0.0002693208970578,***,-0.43749598275236457
seg1_flesch_reading_ease,0.0107779174349219,0.2155705055942779,1.0108362084172775,4.248336684381225e-07,***,-0.06296867919623494
seg1_rix,0.0475078845496815,0.0928299564252745,1.0486544692569515,0.0007693214182708,***,0.006890567080810671
seg2_pos_prop_ADV,0.5333298566748219,0.023037573689747,1.7045989390040417,0.0016789495121182,**,0.5869145942408
seg1_lix,0.0011206895464532,0.0155487210535723,1.0011213177536362,0.0002306751577826,***,0.1658351652596509
cosine_miniLM,0.0250888846913229,0.0049185441035105,1.0254062593927904,0.0042974232478714,**,0.023165600795499588
seg2_pos_prop_NUM,0.2148751596742658,0.0028602683724646,1.2397071218642672,0.0031615168343484,**,0.20208569325177966
seg1_oov_ratio,0.0131413610858851,0.0009542418286279,1.013228088259445,0.0019331217861647,**,-0.0060910251647662995
seg1_dependency_distance_mean,-0.0057707969597302,-0.0042593012497359,0.9942458221052608,0.0025498021810454,**,0.09223793040919587
seg1_pos_prop_NOUN,-0.078753574111548,-0.0063039831721824,0.9242676598632322,0.0014888225407852,**,-0.0822455794342951
seg1_passed_quality_check,-0.1018592199476184,-0.0427351801007026,0.9031566891654644,0.0032136209078669,**,0.015081262428151415
joint_first_order_coherence,-0.793894431310203,-0.0972066224297604,0.4520807650783919,7.981878929529915e-05,***,-0.7848450818245772
seg1_coleman_liau_index,-0.1848669655650795,-1.0749324720174631,0.8312148566957227,2.3881782527006345e-07,***,-0.03469182541836377
seg1_flesch_kincaid_grade,-0.3828415691862631,-1.587095684511996,0.6819209280157545,1.7328434408352498e-05,***,1.0442438990821925
