Feature,Coefficient,Beta_Coefficient,Odds Ratio,P_val,Significance,diff_from_mean_coeff
seg1_n_tokens,0.3118815244217656,4.065797528391868,1.3659928466498767,1.3807772682582631e-24,***,-0.8875689847083534
seg1_n_characters,0.0362037245660188,2.3102803501081337,1.036867060267348,1.4833226281066524e-22,***,-0.4741509866833776
seg2_automated_readability_index,0.336541763363914,1.7409086541263896,1.4000973408236377,1.181735603931075e-09,***,0.04464593768915831
seg1_coleman_liau_index,0.3244136893886802,1.6610881788482963,1.3832194119674155,0.0004792892419812,***,0.47458882953539594
seg2_n_unique_tokens,0.1567001387143458,1.142058899195932,1.1696448301077875,2.3398985604457043e-09,***,-0.2781202003649626
seg2_n_tokens,0.1066644017686369,0.966119687178212,1.1125608183776514,1.952929326839962e-07,***,-0.3596366578892139
seg1_gunning_fog,0.1509745774714795,0.8478500258334586,1.162967092141933,3.638194470648223e-11,***,-0.4072872335622387
seg2_rix,0.1594121935061337,0.6095410702449471,1.172821276375171,1.4005035988636092e-11,***,0.1487246934712671
seg2_n_stop_words,0.1069642468469124,0.378296531414191,1.1128944642818657,3.1782855867381105e-07,***,0.12089407273068004
seg2_senti,0.6352499670464354,0.3177168220977965,1.887493893768806,2.5884429110705826e-05,***,0.41693033415468306
seg1_token_length_median,0.2471174504416553,0.3028631645469239,1.2803294792105928,7.296015781848007e-05,***,0.1509500999028542
cosine_miniLM,1.222237022213903,0.2949024370077,3.3947734293456224,7.788560375695703e-08,***,1.2203137383180795
seg2_dependency_distance_mean,0.3491505094719751,0.275263538666241,1.4178625760309511,2.136386768427788e-05,***,0.2262323349462549
seg2_passed_quality_check,0.7218729774891818,0.2331139424767764,2.0582847235730197,2.5756170669113237e-12,***,0.6595056097052023
seg1_lix,0.0112778393471751,0.1752579306844721,1.0113416739236785,0.0005061170708614,***,0.1759923150603728
seg1_doc_length,0.0085721203064154,0.1619353343460507,1.0086089661367357,3.2808323074290903e-24,***,-0.7390434277425851
seg1_pos_prop_NUM,1.3521002892322342,0.0971450324644987,3.8655357539291777,1.4071825542493456e-23,***,1.3600839649763332
seg1_pos_prop_PROPN,1.4315231533839672,0.078788391977398,4.185068841483182,1.724489966203961e-11,***,1.4602964792491464
seg1_pos_prop_ADP,1.3110430637602646,0.0727939352245417,3.710041504524974,0.0044785662788153,**,1.2973519702654803
seg1_oov_ratio,0.7697638303894284,0.0375105306726749,2.159256242856745,1.6696358949104233e-08,***,0.750531444138777
seg1_pos_prop_DET,0.6447458226868547,0.0321645518724223,1.9055026321739168,1.3578909807964273e-07,***,0.6421298139005811
seg2_pos_prop_CCONJ,0.681758421311792,0.0262834737070754,1.9773516943510503,3.034496641821921e-06,***,0.6703430884882304
seg1_n_sentences,0.0330762776068117,0.0107498826212921,1.033629379009774,0.0041097647177896,**,0.18376508145580495
seg1_pos_prop_PUNCT,0.1355703329283787,0.0094833929804944,1.1451897375498263,4.8711871995163e-08,***,0.1519228726365525
seg2_pos_prop_SYM,-0.1433610585046714,-0.002152619902143,0.8664411764570927,0.0017695048671674,**,-0.15620321483933555
seg1_pos_prop_PRON,-0.1890290821381203,-0.0041255063751595,0.8277624332432673,4.0971712882579504e-05,***,-0.24558334553235825
seg1_pos_prop_AUX,-0.1389850629657549,-0.004859164559745,0.8702410271811947,1.966152205818393e-18,***,-0.11097393084870588
seg1_pos_prop_SYM,-0.2497469213258095,-0.0060443321677691,0.7789979058837809,6.661162241287259e-05,***,-0.24485676538684106
seg1_pos_prop_ADJ,-0.3566062546274371,-0.0227607925709593,0.700048084169322,7.92205531684174e-06,***,-0.35557110429464767
seg1_pos_prop_VERB,-0.508627537092321,-0.0251335490762717,0.6013203025423174,9.280675995462413e-09,***,-0.5184241165938069
seg1_pos_prop_SCONJ,-1.5566180920509525,-0.0293720496022945,0.2108479351009481,1.9168951100696951e-31,***,-1.5545861585034357
seg2_pos_prop_NUM,-0.733796926676875,-0.0321986022229289,0.480082686354688,1.5210134199806256e-05,***,-0.7465863930993611
seg1_pos_prop_ADV,-0.9339126603968224,-0.0360331871272097,0.393012971853487,1.4211890962142773e-05,***,-0.9495258863219518
